millis,frequency,resistance,reactance,magnitude
5481,51.00,4320,-3637,5647.138
5695,51.00,4320,-3637,5647.138
5909,51.00,4320,-3639,5648.4263
6121,51.00,4320,-3639,5648.4263
6322,51.00,4320,-3639,5648.4263
6524,51.00,4320,-3639,5648.4263
6746,51.00,4320,-3639,5648.4263
6944,51.00,4319,-3639,5647.6616
7155,51.00,4319,-3639,5647.6616
7355,51.00,4319,-3639,5647.6616
7575,51.00,4319,-3639,5647.6616
7805,51.00,4319,-3639,5647.6616
8015,50.00,4267,-3716,5658.263
8235,51.00,4321,-3638,5648.547
8445,51.00,4321,-3638,5648.547
8645,51.00,4321,-3638,5648.547
8860,51.00,4321,-3638,5648.547
9070,51.00,4321,-3638,5648.547
9270,51.00,4322,-3638,5649.312
9490,51.00,4322,-3638,5649.312
9700,51.00,4322,-3638,5649.312
9933,51.00,4322,-3638,5649.312
10128,51.00,4322,-3638,5649.312
10348,50.00,4267,-3717,5658.92
10548,51.00,4322,-3639,5649.956
10758,51.00,4322,-3639,5649.956
10968,51.00,4322,-3639,5649.956
11168,51.00,4322,-3639,5649.956
11388,51.00,4322,-3639,5649.956
11608,51.00,4323,-3641,5652.0093
11838,51.00,4323,-3641,5652.0093
12028,51.00,4323,-3641,5652.0093
12228,51.00,4323,-3641,5652.0093
12428,51.00,4323,-3641,5652.0093
12662,50.00,4268,-3718,5660.331
12872,51.00,4323,-3640,5651.365
13092,51.00,4323,-3640,5651.365
13307,51.00,4323,-3640,5651.365
13527,51.00,4323,-3640,5651.365
13727,51.00,4323,-3640,5651.365
13947,51.00,4323,-3640,5651.365
14167,51.00,4323,-3640,5651.365
14397,51.00,4323,-3640,5651.365
14603,51.00,4323,-3640,5651.365
14803,51.00,4323,-3640,5651.365
15023,51.00,4324,-3639,5651.4863
15223,51.00,4324,-3639,5651.4863
15433,51.00,4324,-3639,5651.4863
15643,51.00,4324,-3639,5651.4863
15860,51.00,4324,-3639,5651.4863
